value;params_bootstrap;params_criterion;params_max_depth;params_max_features;params_max_leaf_nodes;params_min_samples_leaf;params_min_samples_split;params_n_estimators;scaled;pca
0.772727273;False;entropy;53;sqrt;800;0.054007568;0.000529474;895;0;0
0.792207792;True;log_loss;58;log2;484;0.054555705;0.000148734;857;0;0
0.75974026;True;gini;25;log2;798;0.025305785;0.001664188;148;0;0
0.753246753;True;gini;23;sqrt;102;0.120436841;0.058458775;366;0;0
0.75974026;False;log_loss;43;sqrt;64;0.00015754;0.007351192;143;0;0
0.779220779;True;entropy;14;sqrt;722;0.025193156;0.13681507;874;0;0
0.746753247;False;entropy;82;sqrt;74;0.000338676;0.001885407;859;0;0
0.746753247;False;entropy;20;log2;206;0.000673152;0.006941139;861;0;0
0.766233766;True;gini;24;;218;0.031675488;0.00013326;928;0;0
0.75974026;True;entropy;93;;752;0.002383923;0.000308784;399;0;0
0.746753247;True;entropy;16;log2;751;0.00040851;0.00012344;132;0;0
0.733766234;False;entropy;86;log2;460;0.311904987;0.006101049;733;0;0
0.642857143;True;gini;24;sqrt;806;0.003961187;0.977965729;194;0;0
0.779220779;True;entropy;56;log2;173;0.013090483;0.033664262;121;0;0
0.766233766;True;log_loss;97;;233;0.009068828;0.019578774;854;0;0
0.766233766;True;gini;43;;865;0.000885899;0.252698978;564;0;0
0.74025974;False;log_loss;26;sqrt;729;0.000727822;0.008246387;746;0;0
0.753246753;True;entropy;25;log2;996;0.006694895;0.067786572;530;0;0
0.772727273;True;gini;39;log2;348;0.07981985;0.005808329;146;0;0
0.74025974;True;gini;22;sqrt;168;0.121602618;0.043045409;10;0;0
0.74025974;False;entropy;42;;833;0.286619106;0.000867965;999;0;0
0.75974026;True;gini;64;log2;864;0.007332612;0.004878292;439;0;0
0.714285714;False;log_loss;23;log2;886;0.001287277;0.011451322;11;0;0
0.75974026;True;log_loss;100;;370;0.062574721;0.001642556;294;0;0
0.74025974;False;log_loss;91;log2;757;0.232367207;0.047893114;346;0;0
0.74025974;False;gini;47;sqrt;918;0.000993961;0.013922288;904;0;0
0.779220779;False;entropy;50;sqrt;597;0.001905504;0.175631558;182;0;0
0.727272727;False;entropy;20;;398;0.044148018;0.010558435;896;0;0
0.779220779;True;entropy;3;sqrt;760;0.002332154;0.000613241;588;0;0
0.642857143;True;log_loss;98;sqrt;976;0.414893711;0.000233221;365;0;0
0.766233766;False;gini;62;sqrt;924;0.024262799;0.000389028;876;0;0
0.766233766;False;gini;51;log2;179;0.06219142;0.229676284;352;0;0
0.753246753;False;entropy;40;log2;463;0.000110891;0.01075402;421;0;0
0.766233766;False;gini;73;;72;0.000260218;0.02054883;708;0;0
0.746753247;True;gini;88;log2;840;0.000993119;0.001032813;841;0;0
0.75974026;True;log_loss;77;;719;0.02683448;0.000775869;134;0;0
0.746753247;True;log_loss;86;sqrt;597;0.000629131;0.059715827;757;0;0
0.753246753;True;log_loss;1;;1000;0.006244232;0.000429246;254;0;0
0.753246753;False;gini;86;sqrt;881;0.011847273;0.000568038;298;0;0
0.75974026;False;gini;21;;797;0.012828035;0.001108618;379;0;0
0.733766234;False;gini;50;sqrt;121;0.000279233;0.676856299;90;0;0
0.772727273;True;entropy;78;log2;579;0.047418999;0.203578524;241;0;0
0.753246753;False;log_loss;62;sqrt;784;0.028750484;0.001634551;598;0;0
0.746753247;True;gini;81;sqrt;175;0.000252091;0.017202864;644;0;0
0.727272727;False;gini;83;log2;325;0.314040645;0.002752647;634;0;0
0.792207792;False;entropy;62;log2;326;0.025115333;0.010762014;297;0;0
0.746753247;False;gini;9;sqrt;481;0.000911562;0.000129674;181;0;0
0.707792208;False;log_loss;4;;456;0.012293018;0.178866688;848;0;0
0.642857143;True;entropy;67;log2;522;0.109705794;0.640292823;157;0;0
0.766233766;True;log_loss;38;;548;0.00138552;0.058406488;342;0;0
0.753246753;False;gini;12;;552;0.006344472;0.030791907;995;0;0
0.74025974;False;log_loss;27;sqrt;944;0.001339607;0.000379597;557;0;0
0.733766234;False;log_loss;99;;964;0.067514482;0.002138827;941;0;0
0.792207792;True;gini;28;log2;384;0.000130951;0.158038459;89;0;0
0.753246753;True;log_loss;78;log2;869;0.031358702;0.000611685;994;0;0
0.766233766;False;gini;7;log2;917;0.057330523;0.020012306;70;0;0
0.746753247;True;entropy;82;log2;720;0.002657213;0.015013693;486;0;0
0.766233766;True;gini;60;log2;415;0.018165805;0.217400154;51;0;0
0.733766234;False;entropy;60;sqrt;205;0.184318118;0.294297528;969;0;0
0.746753247;True;gini;73;sqrt;73;0.002006322;0.011122262;93;0;0
0.753246753;False;log_loss;98;sqrt;293;0.041032619;0.000283373;219;0;0
0.746753247;False;entropy;32;;537;0.003235703;0.00303345;83;0;0
0.779220779;True;log_loss;12;log2;693;0.044292382;0.221407365;520;0;0
0.714285714;False;log_loss;71;;456;0.123064094;0.02482635;283;0;0
0.746753247;False;gini;45;;501;0.003303576;0.036963849;841;0;0
0.74025974;False;entropy;71;;294;0.200232874;0.005176325;961;0;0
0.746753247;True;log_loss;46;log2;138;0.001193643;0.019070143;612;0;0
0.74025974;True;log_loss;78;log2;739;0.139982679;0.002152285;235;0;0
