value;params_C;params_class_weight;params_max_iter;params_penalty;params_solver;params_tol;scaled;pca
0.707792208;187.7845662;;371;l2;saga;0.000136343;0;0
0.753246753;14.5930627;;565;l1;liblinear;0.005426218;0;0
0.753246753;5.50133218;;193;l1;liblinear;0.0045776;0;0
0.694805195;1268.379871;balanced;495;l1;liblinear;0.00306276;0;0
0.642857143;0.002161812;balanced;977;l1;saga;0.006096741;0;0
0.363636364;0.000836684;balanced;151;l1;saga;0.000163185;0;0
0.714285714;0.01251257;balanced;452;l2;liblinear;5.92E-05;0;0
0.688311688;42.56985018;;151;l2;saga;0.006117478;0;0
0.694805195;187.8300626;;874;l1;saga;0.08116222;0;0
0.694805195;0.017656248;balanced;229;l2;saga;0.000660557;0;0
0.668831169;0.272550263;balanced;806;l2;saga;0.012831209;0;0
0.642857143;1.19E-05;balanced;494;l1;liblinear;0.050265182;0;0
0.694805195;91406.83939;balanced;218;l1;liblinear;0.00012832;0;0
0.720779221;53.17759998;;662;l2;saga;0.000336242;0;0
0.649350649;0.002183153;balanced;420;l1;liblinear;0.000102737;0;0
0.694805195;1396.198625;;948;l2;saga;0.005607736;0;0
0.694805195;39.64442214;balanced;823;l1;saga;0.002213691;0;0
0.720779221;0.437900601;balanced;220;l2;liblinear;0.000141107;0;0
0.694805195;257.2957234;balanced;804;l1;liblinear;0.000261982;0;0
0.694805195;2579.197864;balanced;947;l1;liblinear;0.000284689;0;0
0.694805195;10779.75883;balanced;265;l1;liblinear;0.000244223;0;0
0.688311688;0.004244193;;520;l1;liblinear;6.80E-05;0;0
0.681818182;4.05E-05;;866;l2;saga;0.024121723;0;0
0.727272727;769.6875515;;118;l2;liblinear;0.021143647;0;0
0.694805195;2899.317527;balanced;449;l1;saga;0.002572349;0;0
0.694805195;1158.914339;balanced;410;l1;liblinear;2.04E-05;0;0
0.720779221;766.3318057;;647;l2;saga;0.000199112;0;0
0.688311688;0.004064439;;922;l2;liblinear;0.093598033;0;0
0.753246753;72.71403067;;404;l1;liblinear;0.009230769;0;0
0.675324675;0.056988054;;883;l2;saga;0.006614534;0;0
0.62987013;0.000108305;balanced;168;l2;saga;0.081962556;0;0
0.707792208;319.4078865;balanced;468;l1;liblinear;0.013523592;0;0
0.714285714;0.58716584;balanced;571;l1;liblinear;0.002379151;0;0
0.642857143;0.00010425;balanced;496;l2;saga;0.002436669;0;0
0.62987013;3119.726239;balanced;369;l1;saga;0.065320239;0;0
0.636363636;0.149238084;balanced;268;l1;saga;0.032782452;0;0
0.701298701;8.631623518;balanced;820;l2;saga;0.00034201;0;0
0.720779221;2305.103492;;885;l2;saga;0.000190337;0;0
0.694805195;377.2445897;;114;l1;saga;0.089422895;0;0
0.688311688;0.228082517;;769;l1;saga;0.072537994;0;0
0.642857143;0.000147286;;972;l1;liblinear;0.0012111;0;0
0.681818182;0.024979263;balanced;873;l1;saga;0.000898922;0;0
0.694805195;103.513417;balanced;161;l2;liblinear;1.78E-05;0;0
0.694805195;2.322391926;balanced;616;l1;liblinear;0.001291114;0;0
0.642857143;0.004330699;balanced;801;l1;saga;0.039160143;0;0
0.714285714;0.523724155;balanced;353;l2;liblinear;5.96E-05;0;0
0.720779221;3.801809657;;728;l2;saga;0.000145161;0;0
0.694805195;2.072000626;balanced;205;l2;saga;2.40E-05;0;0
0.688311688;5489.384173;;564;l2;liblinear;0.048450217;0;0
0.688311688;9695.086063;;974;l2;saga;0.018847891;0;0
0.701298701;1058.014004;balanced;885;l2;saga;0.000984991;0;0
0.714285714;0.335938699;balanced;338;l1;liblinear;0.055612612;0;0
0.714285714;3953.967415;;816;l2;saga;0.001247923;0;0
0.701298701;1340.545583;;168;l2;saga;0.000120446;0;0
0.642857143;4.16E-05;balanced;991;l1;saga;0.000130122;0;0
0.61038961;1.62E-05;balanced;843;l2;saga;0.000291936;0;0
0.701298701;2189.6387;balanced;196;l2;liblinear;0.003435597;0;0
0.688311688;0.000345704;;807;l2;saga;0.001887978;0;0
0.753246753;4.057717274;;552;l1;liblinear;9.62E-05;0;0
0.701298701;18.68483772;balanced;855;l1;saga;6.61E-05;0;0
0.694805195;26859.5144;balanced;643;l1;liblinear;6.24E-05;0;0
0.642857143;7.95E-05;balanced;726;l2;saga;0.013470044;0;0
0.681818182;2.71E-05;;678;l2;saga;0.003274912;0;0
0.772727273;30632.87849;;481;l1;liblinear;0.073618941;0;0
0.701298701;1.023355443;;169;l2;saga;2.54E-05;0;0
0.681818182;2.49900195;;852;l2;saga;0.010353275;0;0
0.707792208;16.8290476;;516;l2;liblinear;0.03343271;0;0
0.714285714;0.012790029;balanced;556;l2;liblinear;1.77E-05;0;0
0.753246753;71.14017416;;615;l1;liblinear;0.0023097;0;0
0.701298701;20.40592372;balanced;421;l1;saga;0.000494992;0;0
0.720779221;0.072491009;balanced;175;l2;liblinear;1.30E-05;0;0
0.538961039;1.07E-05;balanced;950;l2;liblinear;9.17E-05;0;0
0.753246753;91458.77409;;596;l2;liblinear;0.000168562;0;0
0.707792208;0.011598942;balanced;899;l2;liblinear;0.011193071;0;0
0.707792208;0.744857714;balanced;962;l2;liblinear;4.91E-05;0;0
0.694805195;0.000472795;;888;l2;liblinear;0.035043145;0;0
0.694805195;7867.910487;balanced;491;l1;saga;0.000742078;1;0
0.694805195;44.23715237;balanced;878;l1;saga;6.07E-05;1;0
0.707792208;0.000149093;balanced;576;l2;liblinear;0.001791826;1;0
0.694805195;3718.467297;balanced;640;l1;liblinear;0.000203272;1;0
0.75974026;0.046044473;;899;l1;liblinear;0.011724286;1;0
0.746753247;153.7668798;;124;l1;liblinear;0.044665165;1;0
0.694805195;0.040488719;balanced;549;l2;saga;2.40E-05;1;0
0.694805195;0.008225054;balanced;750;l2;saga;0.001384032;1;0
0.753246753;367.5979019;;650;l1;saga;0.000189363;1;0
0.694805195;4.67807859;balanced;439;l1;saga;0.008905242;1;0
0.707792208;0.000410414;;260;l2;liblinear;0.011883725;1;0
0.753246753;1.790371065;;881;l1;saga;0.000179412;1;0
0.694805195;7117.900866;balanced;468;l1;saga;0.001125774;1;0
0.694805195;62.16379985;balanced;137;l2;liblinear;0.000157867;1;0
0.779220779;0.048012056;;755;l1;saga;0.000344324;1;0
0.746753247;1.165403227;;630;l1;liblinear;0.002093232;1;0
0.746753247;2071.716504;;721;l2;saga;0.090234308;1;0
0.694805195;30.79693164;balanced;860;l2;saga;9.76E-05;1;0
0.75974026;0.104689632;;573;l2;liblinear;1.47E-05;1;0
0.707792208;0.129056623;balanced;244;l1;saga;0.000314932;1;0
0.694805195;5.670028631;balanced;639;l1;saga;4.29E-05;1;0
0.701298701;0.533806111;balanced;274;l1;liblinear;0.001649419;1;0
