value;params_C;params_class_weight;params_max_iter;params_penalty;params_solver;params_tol;scaled;pca
0.935;0.015154322;;307;l2;saga;0.030627785;1;0
0.935;0.079011726;;214;l2;liblinear;1.87E-05;1;0
0.775;0.05578371;balanced;959;l1;liblinear;0.010415548;1;0
0.935;0.832512407;;165;l2;saga;1.37E-05;1;0
0.575;0.002193629;balanced;132;l2;saga;2.75E-05;1;0
0.605;1306.230655;balanced;727;l2;saga;0.018903273;1;0
0.935;20710.58429;;203;l2;saga;0.025001331;1;0
0.935;0.151407302;;419;l2;saga;0.000740054;1;0
0.605;0.001046985;balanced;793;l2;saga;0.022801669;1;0
0.935;8.07E-05;;364;l2;liblinear;0.00499045;1;0
0.605;248.28216;balanced;941;l2;liblinear;0.002944713;1;0
0.935;66874.13971;;357;l2;saga;0.005342182;1;0
0.935;1.131244348;;498;l1;saga;0.000291213;1;0
0.935;0.084147938;;642;l2;liblinear;0.000218172;1;0
0.935;123.5807724;;106;l2;liblinear;0.022351698;1;0
0.605;9.99551257;balanced;865;l2;liblinear;1.76E-05;1;0
0.935;0.08766859;;103;l1;liblinear;0.000237646;1;0
0.605;0.889154532;balanced;136;l2;liblinear;0.001500003;1;0
0.605;0.001117013;balanced;848;l2;saga;0.040033992;1;0
0.935;458.6637351;;503;l2;saga;0.009355069;1;0
0.605;37.16192196;balanced;893;l2;liblinear;0.018364193;1;0
0.935;2.420863953;;474;l1;saga;0.000174196;1;0
0.935;0.037669477;;108;l1;liblinear;0.000682754;1;0
0.605;36.08595344;balanced;853;l2;liblinear;0.00232236;1;0
0.935;0.000751611;;638;l2;liblinear;0.00017094;1;0
0.605;23862.81713;balanced;395;l1;saga;4.37E-05;1;0
0.935;1.885009086;;942;l2;liblinear;0.040746084;1;0
0.935;56965.59784;;925;l2;saga;0.005892403;1;0
0.605;6868.091299;balanced;482;l1;saga;0.006123499;1;0
0.935;1.51E-05;;919;l1;liblinear;0.023971418;1;0
0.565;2.31E-05;balanced;465;l2;liblinear;0.001811245;1;0
0.935;0.000266007;;320;l2;liblinear;5.09E-05;1;0
0.935;12.81405664;;907;l1;liblinear;0.007746917;1;0
0.65;0.046640925;balanced;714;l2;liblinear;0.000185469;1;0
0.605;384.3497466;balanced;921;l1;saga;0.000322982;1;0
