value;params_bootstrap;params_criterion;params_max_depth;params_max_features;params_max_leaf_nodes;params_min_samples_leaf;params_min_samples_split;params_n_estimators;scaled;pca
0.935;False;entropy;72;;651;0.024420984;0.000758369;67;0;0
0.935;True;log_loss;89;sqrt;406;0.069411516;0.002035537;556;0;0
0.935;False;log_loss;29;;139;0.122610387;0.00014353;393;0;0
0.925;True;entropy;80;sqrt;362;0.000582653;0.002003868;800;0;0
0.935;True;gini;73;sqrt;787;0.000241176;0.050629975;379;0;0
0.935;True;gini;1;log2;871;0.304327466;0.006352718;170;0;0
0.935;False;entropy;58;;936;0.065007934;0.007140617;938;0;0
0.935;False;log_loss;80;sqrt;730;0.000800251;0.1408982;56;0;0
0.935;False;log_loss;44;log2;66;0.00051416;0.231092658;503;0;0
0.935;False;gini;36;sqrt;603;0.155958998;0.01262589;853;0;0
0.935;True;entropy;42;log2;727;0.000919881;0.023426865;105;0;0
0.935;True;gini;22;log2;741;0.004997891;0.029574993;238;0;0
0.935;True;gini;5;;425;0.000199217;0.001724553;431;0;0
0.895;False;entropy;28;;818;0.000243222;0.001589695;41;0;0
0.935;False;entropy;35;log2;379;0.131452672;0.000427323;512;0;0
0.91;False;log_loss;58;sqrt;401;0.000313565;0.006062895;965;0;0
0.935;True;gini;98;log2;607;0.000156843;0.06571409;102;0;0
0.93;True;gini;98;log2;176;0.000508094;0.002080374;406;0;0
0.925;True;entropy;73;log2;333;0.000156513;0.000956344;552;0;0
0.935;False;log_loss;34;sqrt;846;0.003480955;0.016265404;278;0;0
0.935;True;gini;79;sqrt;146;0.003168197;0.715341704;655;0;0
0.935;True;log_loss;19;sqrt;799;0.000147904;0.718626381;361;0;0
0.935;False;gini;94;sqrt;9;0.034149659;0.000509957;104;0;0
0.935;False;log_loss;22;;277;0.159967979;0.002559727;534;0;0
0.935;False;entropy;61;sqrt;48;0.0262316;0.001066616;750;0;0
0.935;True;entropy;13;log2;294;0.041738316;0.487874161;69;0;0
