value;params_activation;params_alpha;params_hidden_layer_sizes;params_learning_rate;params_max_iter;params_solver;scaled;pca
0.925;tanh;0.008750227;28;adaptive;779;sgd;0;0
0.935;relu;0.00663745;8;constant;605;lbfgs;0;0
0.935;tanh;0.009215452;49;invscaling;577;lbfgs;0;0
0.935;identity;0.090861235;58;adaptive;320;lbfgs;0;0
0.93;tanh;0.001355956;33;invscaling;866;lbfgs;0;0
0.935;tanh;0.005625304;38;invscaling;212;lbfgs;0;0
0.935;logistic;0.000327574;69;constant;692;sgd;0;0
0.935;identity;0.079471447;44;adaptive;535;adam;0;0
0.935;logistic;1.00E-05;90;invscaling;900;sgd;0;0
0.935;logistic;0.000716283;94;adaptive;837;sgd;0;0
0.935;identity;0.000210976;76;constant;970;lbfgs;0;0
0.935;tanh;1.98E-05;59;constant;764;sgd;0;0
0.935;relu;0.017030494;9;constant;423;adam;0;0
0.935;relu;0.031804484;54;constant;560;lbfgs;0;0
0.935;relu;0.000192661;90;invscaling;877;lbfgs;0;0
0.935;logistic;0.002315623;38;adaptive;411;sgd;0;0
0.935;relu;0.001143739;66;invscaling;612;adam;0;0
0.935;tanh;1.10E-05;78;invscaling;692;adam;0;0
0.935;relu;0.01572621;13;adaptive;605;sgd;0;0
0.935;relu;0.016516881;78;invscaling;273;adam;0;0
0.935;identity;0.028797771;6;adaptive;115;sgd;0;0
0.935;identity;0.002155621;22;constant;630;sgd;0;0
0.935;identity;0.000181277;44;invscaling;500;lbfgs;0;0
0.935;tanh;0.001700557;74;constant;580;sgd;0;0
0.935;tanh;5.26E-05;20;constant;326;adam;0;0
0.935;logistic;3.26E-05;66;adaptive;436;sgd;0;0
0.935;tanh;0.018820982;88;constant;724;lbfgs;0;0
0.935;relu;0.010285167;24;constant;896;lbfgs;0;0
0.935;identity;0.013850236;100;invscaling;985;sgd;0;0
0.935;tanh;0.000180913;62;adaptive;420;lbfgs;0;0
0.935;tanh;0.002388447;53;invscaling;562;adam;0;0
0.935;relu;5.32E-05;60;constant;319;sgd;0;0
0.93;logistic;1.58E-05;31;invscaling;852;lbfgs;0;0
0.935;tanh;0.00010378;21;adaptive;778;sgd;0;0
0.935;relu;0.02493624;4;invscaling;203;lbfgs;0;0
0.935;identity;0.00553576;87;invscaling;315;lbfgs;0;0
0.935;logistic;2.56E-05;38;invscaling;240;sgd;1;0
0.935;logistic;0.000312507;85;adaptive;999;sgd;1;0
0.935;identity;0.008361841;74;adaptive;812;sgd;1;0
0.935;tanh;0.012456866;89;constant;257;sgd;1;0
0.935;tanh;0.001685723;4;invscaling;572;adam;1;0
0.935;relu;0.064388774;45;invscaling;163;lbfgs;1;0
0.935;identity;0.000144304;39;adaptive;481;adam;1;0
0.935;relu;3.51E-05;44;adaptive;273;sgd;1;0
0.635;identity;0.001696935;85;invscaling;539;sgd;1;0
0.935;identity;0.005794018;20;constant;220;sgd;1;0
0.935;logistic;1.45E-05;83;adaptive;682;lbfgs;1;0
0.935;logistic;0.000695396;74;invscaling;491;adam;1;0
0.735;tanh;0.025252428;73;invscaling;947;sgd;1;0
0.935;identity;5.35E-05;64;constant;353;adam;1;0
0.935;identity;0.013979299;4;invscaling;777;adam;1;0
0.935;identity;7.30E-05;8;constant;794;lbfgs;1;0
0.935;identity;0.000437501;32;constant;930;sgd;1;0
0.465;identity;0.016548597;79;invscaling;611;sgd;1;0
0.93;relu;0.000104864;57;invscaling;906;lbfgs;1;0
0.735;tanh;0.003843094;48;invscaling;786;sgd;1;0
0.925;tanh;0.001090967;81;invscaling;357;lbfgs;1;0
0.935;logistic;0.000639009;3;adaptive;212;sgd;1;0
0.08;logistic;0.061468876;47;invscaling;331;sgd;1;0
0.935;identity;0.001158259;23;adaptive;233;sgd;1;0
0.935;tanh;0.000308976;25;constant;169;lbfgs;1;0
0.925;tanh;0.012580039;24;invscaling;485;lbfgs;1;0
0.935;tanh;0.000726764;8;constant;972;adam;1;0
0.935;tanh;0.014033091;2;adaptive;711;sgd;1;0
0.935;relu;0.002007376;47;constant;425;adam;1;0
0.935;logistic;0.00616994;80;constant;221;sgd;1;0
0.935;logistic;0.001890375;90;adaptive;253;lbfgs;1;0
0.065;logistic;0.007243362;31;invscaling;654;sgd;1;0
0.93;relu;0.017462645;87;invscaling;848;lbfgs;1;0
0.935;tanh;0.001358249;97;constant;552;sgd;1;0
0.925;logistic;0.000222919;34;invscaling;386;lbfgs;1;0
0.935;identity;7.80E-05;96;invscaling;531;lbfgs;1;0
0.935;identity;0.026079556;56;adaptive;472;sgd;1;0
0.935;identity;0.046492996;96;invscaling;241;lbfgs;1;0
0.94;relu;1.65E-05;52;constant;364;lbfgs;1;0
0.935;relu;0.02365898;11;constant;434;adam;1;0
0.935;identity;0.001039958;53;constant;499;lbfgs;1;0
0.93;relu;0.006222287;71;constant;709;lbfgs;1;0
0.935;logistic;0.000725684;59;invscaling;342;adam;1;0
0.935;logistic;0.000219265;35;invscaling;421;sgd;1;0
0.935;tanh;0.001772695;84;constant;386;adam;1;0
0.935;logistic;0.020515092;23;constant;436;sgd;1;0
0.935;tanh;0.022700459;14;constant;163;sgd;1;0
0.935;relu;0.059313076;71;invscaling;756;lbfgs;1;0
0.935;tanh;0.000879304;57;constant;762;adam;1;0
0.935;relu;0.006992832;58;adaptive;834;sgd;1;0
0.935;tanh;0.088660855;93;invscaling;532;adam;1;0
0.935;logistic;2.58E-05;28;constant;161;lbfgs;1;0
0.935;logistic;0.030377351;11;constant;239;adam;1;0
0.935;relu;0.000301651;74;adaptive;573;adam;1;0
0.935;identity;0.049325827;56;constant;549;adam;1;0
0.935;identity;2.34E-05;50;invscaling;184;adam;1;0
0.935;identity;0.015346949;19;constant;433;sgd;1;0
0.935;tanh;4.14E-05;89;constant;771;sgd;1;0
0.935;logistic;0.015007996;92;adaptive;925;lbfgs;1;0
0.935;logistic;0.001296726;25;adaptive;392;sgd;1;0
0.935;logistic;0.002645613;50;adaptive;921;sgd;1;0
0.935;logistic;0.048089941;15;invscaling;158;adam;1;0
0.935;relu;0.000227919;98;invscaling;471;adam;1;0
0.935;tanh;0.048942785;19;constant;189;sgd;1;0
0.935;identity;0.027861518;66;constant;961;sgd;1;0
0.935;tanh;0.001317766;1;invscaling;716;lbfgs;1;0
0.935;tanh;0.078764589;99;constant;236;sgd;1;0
0.935;logistic;1.01E-05;73;adaptive;299;sgd;1;0
0.935;logistic;1.86E-05;10;invscaling;587;sgd;1;0
0.925;logistic;0.000224547;38;invscaling;246;lbfgs;1;0
0.925;relu;0.000249423;45;constant;956;lbfgs;1;0
0.935;logistic;0.000608767;98;constant;757;lbfgs;1;0
0.935;logistic;0.000148043;35;adaptive;779;sgd;1;0
0.935;relu;0.001716994;64;constant;728;sgd;1;0
0.935;identity;0.001651588;25;constant;970;lbfgs;1;0
0.935;identity;2.30E-05;33;adaptive;631;lbfgs;1;0
0.935;tanh;0.06274935;27;adaptive;627;sgd;1;0
0.935;relu;0.002028838;16;constant;508;adam;1;0
0.935;relu;0.044618838;63;invscaling;744;adam;1;0
0.935;relu;0.000450504;71;invscaling;607;adam;1;0
0.91;tanh;3.23E-05;26;invscaling;899;lbfgs;1;0
0.91;tanh;9.94E-05;88;invscaling;313;lbfgs;1;0
0.61;tanh;0.038041611;59;invscaling;771;sgd;1;0
0.935;identity;4.73E-05;3;adaptive;666;lbfgs;1;0
0.935;tanh;0.000291767;94;invscaling;476;adam;1;0
0.935;relu;1.81E-05;8;constant;241;adam;1;0
0.935;relu;0.066788118;77;adaptive;852;lbfgs;1;0
0.935;logistic;0.076090082;8;constant;833;adam;1;0
0.935;identity;1.18E-05;71;adaptive;897;sgd;1;0
0.935;relu;0.001574609;9;constant;628;sgd;1;0
0.935;identity;0.001560234;93;constant;295;lbfgs;1;0
0.935;relu;0.010344964;9;constant;818;sgd;1;0
0.935;tanh;0.003488803;71;adaptive;208;sgd;1;0
0.935;identity;0.033395134;92;adaptive;521;sgd;1;0
0.935;logistic;4.98E-05;87;adaptive;671;sgd;1;0
0.585;identity;0.032044373;91;invscaling;307;sgd;1;0
0.615;logistic;1.08E-05;27;invscaling;185;sgd;1;0
0.935;logistic;0.001811994;88;invscaling;703;adam;1;0
0.935;identity;0.00116365;10;constant;674;adam;1;0
0.63;tanh;0.000460823;89;invscaling;670;sgd;1;0
0.935;logistic;0.066598804;14;adaptive;356;sgd;1;0
0.935;tanh;0.001441107;63;constant;804;adam;1;0
0.93;tanh;0.045787944;59;adaptive;876;lbfgs;1;0
0.935;logistic;0.003614727;41;invscaling;724;sgd;1;0
0.935;identity;0.003080754;36;constant;100;adam;1;0
0.935;relu;2.50E-05;39;constant;707;adam;1;0
0.935;tanh;0.000246802;13;constant;147;adam;1;0
0.935;logistic;0.001034571;94;adaptive;675;adam;1;0
0.935;identity;5.64E-05;85;constant;356;sgd;1;0
0.935;tanh;0.005670387;95;constant;618;sgd;1;0
0.935;identity;0.04070724;38;adaptive;767;adam;1;0
0.935;logistic;1.23E-05;47;invscaling;119;adam;1;0
0.935;relu;0.009689306;51;invscaling;773;adam;1;0
0.935;relu;7.44E-05;25;constant;946;sgd;1;0
0.46;relu;0.001877657;46;invscaling;477;sgd;1;0
0.935;relu;0.00375421;98;adaptive;345;adam;1;0
0.935;identity;0.006265992;57;adaptive;324;adam;1;0
0.935;logistic;2.99E-05;12;constant;121;adam;1;0
0.935;logistic;0.0047965;87;adaptive;654;lbfgs;1;0
0.935;logistic;0.090188875;18;adaptive;382;lbfgs;1;0
0.94;tanh;0.000404197;6;constant;285;lbfgs;1;0
0.925;tanh;0.056788739;28;constant;104;lbfgs;1;0
0.935;relu;0.08475369;71;constant;914;sgd;1;0
0.935;logistic;0.004978015;62;constant;116;lbfgs;1;0
0.935;logistic;0.001626189;33;invscaling;430;adam;1;0
