value;params_activation;params_alpha;params_hidden_layer_sizes;params_learning_rate;params_max_iter;params_solver;scaled;pca
0.662337662;relu;0.019224934;31;adaptive;115;adam;0;0
0.720779221;logistic;7.31E-05;80;adaptive;665;adam;0;0
0.727272727;identity;9.17E-05;4;adaptive;427;lbfgs;0;0
0.714285714;tanh;0.000426521;13;invscaling;523;lbfgs;0;0
0.668831169;logistic;0.002503741;97;adaptive;274;adam;0;0
0.688311688;identity;9.84E-05;65;invscaling;694;sgd;0;0
0.707792208;identity;0.000407077;58;adaptive;241;sgd;0;0
0.746753247;relu;0.000995614;14;adaptive;326;adam;0;0
0.636363636;tanh;4.37E-05;99;constant;900;sgd;0;0
0.688311688;relu;0.004264009;21;invscaling;713;adam;0;0
0.675324675;tanh;0.000519137;5;constant;262;adam;0;0
0.668831169;logistic;0.078763631;9;invscaling;590;lbfgs;0;0
0.74025974;logistic;0.000101368;76;invscaling;952;adam;0;0
0.62987013;tanh;0.016868643;19;constant;912;sgd;0;0
0.642857143;identity;1.35E-05;66;invscaling;980;sgd;0;0
0.681818182;tanh;0.009388379;57;adaptive;114;lbfgs;0;0
0.727272727;relu;0.02010585;1;constant;925;lbfgs;0;0
0.545454545;identity;0.005308655;95;invscaling;458;sgd;0;0
0.61038961;tanh;0.00123734;93;invscaling;253;lbfgs;0;0
0.701298701;identity;0.000776241;78;invscaling;609;adam;0;0
0.668831169;relu;0.017541561;95;invscaling;654;lbfgs;0;0
0.74025974;relu;6.70E-05;70;constant;715;lbfgs;0;0
0.642857143;logistic;0.009121274;64;invscaling;831;lbfgs;0;0
0.753246753;relu;0.000744485;5;adaptive;924;lbfgs;0;0
0.668831169;tanh;0.000114421;48;constant;633;sgd;0;0
0.707792208;relu;0.000140604;99;constant;174;adam;0;0
0.62987013;identity;0.00751504;17;invscaling;213;sgd;0;0
0.694805195;logistic;7.11E-05;44;adaptive;540;lbfgs;0;0
0.577922078;relu;0.000420496;30;constant;308;sgd;0;0
0.753246753;identity;2.10E-05;64;adaptive;378;lbfgs;0;0
0.642857143;logistic;1.36E-05;4;constant;472;sgd;0;0
0.538961039;identity;0.001429545;12;invscaling;506;sgd;0;0
0.746753247;identity;0.000138027;19;adaptive;861;lbfgs;0;0
0.668831169;logistic;0.0021331;63;adaptive;955;sgd;0;0
0.642857143;logistic;1.97E-05;32;invscaling;660;sgd;0;0
0.74025974;logistic;1.74E-05;96;constant;208;adam;0;0
0.675324675;relu;0.066393207;85;constant;934;sgd;0;0
0.662337662;logistic;0.023745169;13;constant;213;lbfgs;0;0
0.649350649;logistic;5.41E-05;34;invscaling;519;lbfgs;0;0
0.694805195;tanh;0.093546477;17;constant;404;adam;0;0
0.714285714;identity;0.001863806;65;adaptive;159;sgd;0;0
0.662337662;identity;0.063588944;95;adaptive;103;adam;0;0
0.448051948;relu;2.55E-05;27;invscaling;261;sgd;0;0
0.62987013;relu;1.90E-05;1;constant;897;adam;0;0
0.720779221;identity;0.004419043;94;constant;824;sgd;0;0
0.642857143;tanh;3.98E-05;63;invscaling;192;sgd;0;0
0.675324675;relu;0.001374892;89;invscaling;625;sgd;0;0
0.655844156;logistic;0.020759037;69;adaptive;305;lbfgs;0;0
0.655844156;tanh;0.000139077;81;constant;347;sgd;0;0
0.694805195;logistic;0.004994081;34;adaptive;673;sgd;0;0
0.753246753;identity;0.00578837;73;invscaling;394;lbfgs;0;0
0.61038961;identity;0.000290436;17;invscaling;182;sgd;0;0
0.668831169;identity;0.024183393;24;invscaling;351;adam;0;0
0.662337662;logistic;0.010767968;6;constant;131;lbfgs;0;0
0.681818182;tanh;0.019442515;69;adaptive;494;lbfgs;0;0
0.675324675;tanh;5.57E-05;34;adaptive;699;lbfgs;0;0
0.753246753;identity;0.006412239;67;constant;231;lbfgs;0;0
0.655844156;tanh;0.00021223;38;constant;392;sgd;0;0
0.642857143;relu;0.001450195;39;invscaling;190;sgd;0;0
0.681818182;relu;0.062222489;74;constant;537;adam;0;0
0.707792208;logistic;0.001979978;17;invscaling;315;adam;0;0
0.727272727;logistic;0.053786498;61;adaptive;327;adam;0;0
0.701298701;logistic;0.037698533;77;adaptive;939;sgd;0;0
0.642857143;tanh;0.00174924;4;invscaling;393;adam;0;0
0.662337662;logistic;0.008254426;90;invscaling;390;sgd;0;0
0.733766234;logistic;0.000343995;66;adaptive;211;sgd;0;0
0.636363636;tanh;0.009009484;53;adaptive;936;lbfgs;0;0
0.701298701;relu;0.049794563;89;adaptive;772;lbfgs;0;0
0.720779221;tanh;0.000219366;34;invscaling;236;adam;0;0
0.636363636;tanh;0.00082468;11;constant;244;adam;0;0
0.675324675;logistic;0.000203543;62;constant;633;sgd;0;0
0.655844156;identity;2.65E-05;26;invscaling;694;sgd;0;0
0.642857143;logistic;1.12E-05;6;invscaling;653;sgd;0;0
0.668831169;tanh;0.002170414;46;invscaling;473;lbfgs;0;0
0.733766234;identity;0.000136983;16;invscaling;338;lbfgs;0;0
0.694805195;relu;2.03E-05;83;constant;320;sgd;0;0
0.675324675;tanh;0.04074661;52;constant;605;adam;0;0
0.649350649;tanh;0.000158406;11;invscaling;285;adam;0;0
0.714285714;relu;0.000204305;99;constant;973;adam;0;0
0.753246753;identity;0.001945809;15;constant;1000;lbfgs;0;0
0.62987013;relu;0.000220627;40;invscaling;228;sgd;0;0
0.636363636;tanh;1.04E-05;11;invscaling;996;adam;0;0
0.649350649;tanh;0.000202154;18;constant;449;lbfgs;0;0
0.694805195;logistic;1.60E-05;36;adaptive;720;sgd;0;0
0.74025974;logistic;1.54E-05;13;adaptive;611;adam;0;0
0.707792208;logistic;0.006273784;46;invscaling;480;adam;0;0
0.668831169;logistic;0.000160593;97;adaptive;765;adam;0;0
0.701298701;identity;6.88E-05;88;adaptive;530;sgd;0;0
0.701298701;relu;0.005616177;79;invscaling;753;lbfgs;0;0
0.727272727;logistic;0.001925185;34;constant;883;adam;0;0
0.655844156;relu;1.44E-05;38;invscaling;496;adam;0;0
0.727272727;relu;0.089234997;76;adaptive;297;lbfgs;0;0
0.636363636;tanh;0.004816224;24;adaptive;683;adam;0;0
0.655844156;identity;0.003563931;55;invscaling;774;adam;0;0
0.694805195;relu;0.096049718;56;adaptive;882;adam;0;0
0.675324675;logistic;1.85E-05;59;constant;194;sgd;0;0
0.707792208;logistic;0.010429796;58;adaptive;833;adam;0;0
0.642857143;tanh;0.000502776;2;adaptive;334;lbfgs;0;0
0.474025974;identity;0.044807061;51;constant;393;sgd;0;0
