value;params_activation;params_alpha;params_hidden_layer_sizes;params_learning_rate;params_max_iter;params_solver;scaled;pca
0.809756098;tanh;0.035089354;92;adaptive;194;lbfgs;0;0
0.556097561;identity;3.31E-05;96;constant;610;sgd;0;0
0.765853659;identity;0.040104454;87;invscaling;678;adam;0;0
0.565853659;relu;0.033981258;2;invscaling;842;adam;0;0
0.741463415;identity;0.004576281;70;adaptive;728;sgd;0;0
0.795121951;identity;0.000101399;46;constant;238;lbfgs;0;0
0.502439024;relu;0.077781933;61;invscaling;192;lbfgs;0;0
0.834146341;tanh;0.077737694;77;adaptive;631;adam;0;0
0.790243902;logistic;0.009322348;87;adaptive;144;adam;0;0
0.765853659;identity;3.18E-05;21;invscaling;259;adam;0;0
0.795121951;logistic;5.25E-05;91;constant;850;adam;0;0
0.770731707;identity;0.006283816;16;invscaling;548;adam;0;0
0.590243902;tanh;1.20E-05;79;invscaling;993;sgd;0;0
0.834146341;relu;0.001923521;73;constant;456;lbfgs;0;0
0.731707317;identity;0.013016745;21;adaptive;879;sgd;0;0
0.858536585;logistic;0.061812687;81;constant;916;lbfgs;0;0
0.775609756;identity;0.000545762;55;invscaling;214;adam;0;0
0.502439024;logistic;5.05E-05;70;invscaling;380;sgd;0;0
0.643902439;identity;0.001203546;85;invscaling;548;sgd;0;0
0.795121951;relu;0.045626924;32;adaptive;232;lbfgs;0;0
0.712195122;logistic;0.000528492;29;invscaling;238;lbfgs;0;0
0.785365854;relu;0.000784563;76;adaptive;888;adam;0;0
0.8;logistic;0.003846996;41;constant;694;adam;0;0
0.829268293;tanh;0.006230362;91;constant;425;adam;0;0
0.809756098;logistic;7.01E-05;70;constant;663;adam;0;0
0.785365854;relu;0.003158189;69;adaptive;656;adam;0;0
0.819512195;logistic;0.032271972;25;constant;737;lbfgs;0;0
0.8;tanh;0.042194514;50;constant;338;lbfgs;0;0
0.770731707;tanh;0.000149252;78;adaptive;583;lbfgs;0;0
0.692682927;identity;0.004757744;95;invscaling;461;sgd;0;0
0.8;identity;0.002120188;100;invscaling;385;lbfgs;0;0
0.658536585;logistic;0.000822771;83;adaptive;455;sgd;0;0
0.790243902;logistic;0.000268053;60;constant;345;lbfgs;0;0
0.643902439;logistic;0.000134975;33;constant;265;sgd;0;0
0.785365854;tanh;5.80E-05;9;constant;997;adam;0;0
0.531707317;tanh;0.034636146;98;invscaling;940;sgd;0;0
0.565853659;tanh;0.008245276;76;adaptive;338;sgd;0;0
0.502439024;logistic;0.002805537;98;invscaling;201;sgd;0;0
0.809756098;tanh;0.000278033;50;adaptive;909;lbfgs;0;0
0.809756098;relu;0.002281084;59;adaptive;556;lbfgs;0;0
0.795121951;relu;5.40E-05;80;adaptive;934;adam;0;0
0.643902439;logistic;0.000293768;23;constant;509;sgd;0;0
0.741463415;identity;0.070972547;56;adaptive;430;sgd;0;0
0.795121951;identity;7.66E-05;10;adaptive;154;lbfgs;0;0
0.502439024;identity;0.002077013;17;adaptive;461;lbfgs;0;0
0.668292683;tanh;0.098736669;65;adaptive;512;sgd;0;0
0.756097561;relu;0.000266292;17;invscaling;467;adam;0;0
0.780487805;logistic;3.88E-05;42;invscaling;268;adam;0;0
0.668292683;logistic;0.000384501;96;constant;199;sgd;0;0
0.795121951;logistic;0.001475045;65;invscaling;234;lbfgs;0;0
0.63902439;logistic;0.001258583;81;adaptive;663;sgd;0;0
0.63902439;logistic;0.000647177;17;constant;398;sgd;0;0
0.565853659;logistic;0.000268718;94;invscaling;993;sgd;0;0
0.809756098;relu;0.000177248;31;invscaling;781;lbfgs;0;0
0.8;tanh;0.077615263;75;invscaling;975;lbfgs;0;0
0.63902439;logistic;0.004230211;14;adaptive;917;sgd;0;0
0.804878049;relu;0.000935534;93;adaptive;667;lbfgs;0;0
0.502439024;relu;0.000481554;60;invscaling;265;lbfgs;0;0
0.809756098;relu;0.012462619;100;adaptive;673;lbfgs;0;0
0.824390244;relu;0.025420988;42;constant;933;lbfgs;0;0
0.775609756;identity;0.002605181;14;adaptive;726;adam;0;0
0.795121951;logistic;5.34E-05;88;adaptive;130;adam;0;0
0.804878049;identity;0.072724285;22;constant;840;lbfgs;0;0
0.809756098;logistic;0.093132228;46;invscaling;407;adam;0;0
0.502439024;tanh;0.039048862;2;invscaling;882;lbfgs;0;0
0.502439024;logistic;0.003054683;18;invscaling;958;sgd;0;0
0.804878049;logistic;0.001044195;73;invscaling;798;adam;0;0
0.76097561;identity;5.86E-05;17;adaptive;754;adam;0;0
0.502439024;relu;0.006265885;4;constant;440;lbfgs;0;0
0.502439024;tanh;0.000168197;18;adaptive;259;sgd;0;0
0.804878049;identity;5.05E-05;44;adaptive;880;lbfgs;0;0
0.829268293;tanh;0.002295328;97;invscaling;493;adam;0;0
0.814634146;tanh;0.007913689;28;constant;409;adam;0;0
0.497560976;tanh;6.17E-05;3;invscaling;331;sgd;0;0
0.770731707;identity;0.002737424;60;adaptive;780;adam;0;0
0.795121951;identity;0.018128461;85;adaptive;673;lbfgs;0;0
0.814634146;relu;0.000274974;7;constant;754;adam;0;0
0.785365854;relu;0.000386476;69;adaptive;949;adam;0;0
0.702439024;identity;0.030811514;24;invscaling;825;sgd;0;0
0.6;relu;0.000130671;44;invscaling;878;sgd;0;0
0.819512195;logistic;3.07E-05;72;constant;631;lbfgs;0;0
0.497560976;relu;0.001605222;13;invscaling;590;sgd;0;0
0.824390244;relu;1.87E-05;75;constant;738;lbfgs;0;0
0.63902439;logistic;0.000471086;7;adaptive;257;sgd;0;0
0.775609756;identity;0.077337786;45;invscaling;432;adam;0;0
